#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
46,E031,Timer/counter,0,,0,0,Datexel,Pixsys,TCT101-1ABC,http://www.pixsys.net/en/products/timers-counters/tct101,104,1,,,,,,,,0,,
47,E032,Timer,1,,0,0,Auber Instruments,Auber,JSL-73B,"Timer for Beer Brewing, Multi-Events",42.32,1,,,,,,,,0,42.32,
48,E033,Timer,1,,0,0,Auber Instruments,Auber,ASL-52,"MULTIFUNCTION TIMER, COUNTER, TACHOMETER 9~48VDC POWERED",36.5,1,,,,,,,,0,36.5,
49,E040,Raspberry Pi 2 Model b 8gb Noobs Microsd,0,,0,0,Newark,Raspberry Pi,RPI2-MODB-8GB-NOOBS.,,40,1,http://datasheet.octopart.com/RPI2-MODB-8GB-NOOBS.-Raspberry-Pi-datasheet-37140036.pdf,,,,,,,0,,
50,E041,Raspberry Pi 3 no SD Card,1,,3,2,Newark,Raspberry Pi,RPI3,,35,1,http://datasheet.octopart.com/RPI2-MODB-8GB-NOOBS.-Raspberry-Pi-datasheet-37140036.pdf,,,,,,,0,35,105
51,E050,"Panel Meter; Programmable; 2.4-in ColorTouch Screen; Voltage Input, 0-40 VDC",0,,0,0,Dwyer,Dwyer Instruments,SPPM-24,,110,1,http://datasheet.octopart.com/SPPM-24-Dwyer-Instruments-datasheet-21089988.pdf,,,,,,,0,,
52,E060,9-slot PLC Base,0,,0,1,Automation Direct,Automation Direct,D2-09BDC1-1,,238,1,,,,,,,,0,,
53,E061,6-slot PLC Base,0,,0,0,Automation Direct,Automation Direct,D2-06BDC1-1,,194,1,,,,,,,,0,,
54,E065,"AD PLC CPU, Ethernet and Serial",0,,0,0,Automation Direct,,H2-DM1E,,399,1,,,,,,,,0,,
55,E070,AD PLC 4-point Thermocouple Input module,0,,0,3,Automation Direct,Koyo,F2-04THM,,310,1,,,,,,,,0,,
56,E071,AD 8-point analog current input module,0,,0,0,Automation Direct,Koyo,F2-08AD-1,,255,1,,,,,,,,0,,
57,E072,AD 8-point analog voltage input module,0,,0,1,Automation Direct,Koyo,F2-08AD-2,,274,1,,,,,,,,0,,
58,E073,AD PLC 8-point Analog Output Module,0,,0,0,Automation Direct,Koyo,F2-08DA-2,,279,1,,,,,,,,0,,
59,E074,"AD PLC 5 SPST, 3SPDT isolated output Relay output card",0,,0,0,Automation Direct,Koyo,F2-08TRS,"Eight point relay, isolated, 3 form C,5 SPST",103,1,,,,,,,,0,,
60,E075,"DL205 PLC Base 8pt source output, 0.3A per point",0,,0,3,Automation Direct,,D2-08TD2,,58,1,,,,,,,,0,,
61,E077,DL205 16-point sink/source input,0,,0,0,Automation Direct,Koyo,D2-08ND3,,54,1,,,,,,,,0,,
62,E078,"SERIAL MODULE W/3 RS-232 PORTS USE W/DO-MORE, WINPLC & H2-EBC100",0,,0,1,Automation Direct,,H2-SERIO,,179,1,,,,,,,,0,,
63,E079,AD PLC Filler,0,,0,1,Automation Direct,,D2-FILL,,12,1,,,,,,,,0,,
64,E080,DL205 4-point RTD Module,0,,0,0,Automation Direct,,F2-04RTD,,310,1,,,,,,,,0,,
65,E100A,"12.1"" Touchscreen, 1280X800",0,,0,0,,Proface,SP-5600WA,,2000,1,,,,,,,,0,,
66,E100B,Box module for E100A Touchscreen,0,,0,0,,,PFXP5B10,,1000,1,,,,,,,,0,,
67,E121P,LabJack U6-Pro,0,,0,0,,,,,369,1,,,,,,,,0,,
68,E130,Industrial Ethernet Connectors and Cables FL SWITCH SFN 5TX 5 COPPER WIRE PORTS,0,,0,1,Eoff,Phoenix Contact,2891152,,81.24,1,http://datasheet.octopart.com/2891152-Phoenix-Contact-datasheet-9633803.pdf,,,,,,,0,,
